Lot Area,Gr Liv Area,Garage Area,SalePrice,Bldg Type_1Fam,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE
2628,1626,474,175500,0,0,0,1,0
18494,1324,430,199500,1,0,0,0,0
3203,1145,437,160000,0,0,0,0,1
3182,1269,430,192000,0,0,0,0,1
13300,1374,400,184500,1,0,0,0,0
7851,1960,440,216500,1,0,0,0,0
8577,1733,433,185088,1,0,0,0,0
7750,1430,400,180000,1,0,0,0,0
9505,2035,434,222500,1,0,0,0,0
14774,2599,779,333168,1,0,0,0,0
17433,2475,962,355000,1,0,0,0,0
10593,1720,527,260400,1,0,0,0,0
12256,2622,712,325000,1,0,0,0,0
11764,2270,671,290000,1,0,0,0,0
16770,1839,486,221000,1,0,0,0,0
14720,3238,666,410000,1,0,0,0,0
8987,1595,880,221500,1,0,0,0,0
9215,1218,676,204500,1,0,0,0,0
8640,1547,614,215200,1,0,0,0,0
9000,1566,750,262500,1,0,0,0,0
12552,1947,678,254900,1,0,0,0,0
10440,1468,528,271500,1,0,0,0,0
10142,2084,618,233000,1,0,0,0,0
11920,1659,484,181000,1,0,0,0,0
8880,2110,463,205000,1,0,0,0,0
8012,923,264,143000,0,0,0,0,1
11218,1845,462,189000,1,0,0,0,0
7892,918,264,99500,0,0,0,0,1
7175,752,264,125000,0,0,0,0,1
9453,1744,457,194500,1,0,0,0,0
9672,1097,480,152000,1,0,0,0,0
8400,1564,476,171000,1,0,0,0,0
9800,1012,429,67500,1,0,0,0,0
8930,1902,539,112000,0,0,1,0,0
11782,1155,576,148000,1,0,0,0,0
8450,894,336,138500,1,0,0,0,0
9819,900,280,122000,1,0,0,0,0
7500,1040,308,133000,1,0,0,0,0
6897,1040,260,127000,1,0,0,0,0
15410,1494,461,169000,1,0,0,0,0
10186,1923,564,190000,1,0,0,0,0
13143,2349,762,362500,1,0,0,0,0
11134,2225,713,285000,1,0,0,0,0
4835,1488,506,260000,0,0,0,0,1
3515,1680,588,190000,0,0,0,0,1
3215,1200,480,155000,0,0,0,0,1
3182,1200,480,151000,0,0,0,0,1
2544,1200,480,149500,0,0,0,1,0
2544,1236,480,152000,0,0,0,1,0
4403,1478,484,222000,1,0,0,0,0
2117,1573,440,177500,0,0,0,1,0
2980,1512,440,177000,0,0,0,0,1
2572,1416,484,155000,0,0,0,1,0
2403,1080,496,147110,0,0,0,0,1
12853,1418,852,267916,1,0,0,0,0
7379,1848,592,254000,1,0,0,0,0
4420,788,484,155000,0,0,0,0,1
3880,1226,484,206000,0,0,0,1,0
13517,1479,475,130500,1,0,0,0,0
8000,1492,596,230000,1,0,0,0,0
10456,1829,535,218500,1,0,0,0,0
10791,2495,660,243500,1,0,0,0,0
10603,1610,480,205000,1,0,0,0,0
18837,1891,678,212500,1,0,0,0,0
10421,1714,496,196500,1,0,0,0,0
9360,1381,676,197500,1,0,0,0,0
9600,1645,441,171000,1,0,0,0,0
9600,1232,490,142250,1,0,0,0,0
9790,1328,528,143000,1,0,0,0,0
9320,1225,0,128950,1,0,0,0,0
9900,1209,504,159000,1,0,0,0,0
9680,1510,517,178900,1,0,0,0,0
10600,1775,480,136300,1,0,0,0,0
14112,1152,484,180500,1,0,0,0,0
8800,1054,480,137500,1,0,0,0,0
13260,1728,0,84900,0,0,1,0,0
9717,1078,240,142125,1,0,0,0,0
9724,2461,400,197600,1,0,0,0,0
17360,1556,470,172500,1,0,0,0,0
7207,858,0,116500,1,0,0,0,0
5350,1306,0,76500,1,0,0,0,0
9920,1063,280,128000,1,0,0,0,0
9600,1520,364,153000,1,0,0,0,0
7800,1268,244,132000,1,0,0,0,0
11380,1128,315,178000,1,0,0,0,0
11600,2274,480,154300,0,0,1,0,0
19900,2207,576,180000,1,0,0,0,0
16492,1888,578,190000,1,0,0,0,0
8267,1604,576,135000,0,0,1,0,0
8197,1480,620,214000,1,0,0,0,0
8050,1143,308,136000,1,0,0,0,0
10552,1700,447,165500,1,0,0,0,0
8400,1314,294,145000,1,0,0,0,0
8760,1194,312,148000,1,0,0,0,0
12160,1188,531,142000,1,0,0,0,0
9300,1264,461,167500,1,0,0,0,0
10725,1206,312,108538,1,0,0,0,0
10032,1580,440,159500,1,0,0,0,0
8382,1337,263,108000,1,0,0,0,0
10950,1064,318,135000,1,0,0,0,0
10895,972,305,122500,1,0,0,0,0
13587,988,264,119000,0,1,0,0,0
7922,1057,246,109000,1,0,0,0,0
7898,985,676,105000,1,0,0,0,0
7200,827,392,107500,1,0,0,0,0
10200,1086,490,144900,1,0,0,0,0
5868,936,308,129000,1,0,0,0,0
17503,1458,330,97500,1,0,0,0,0
6979,1056,576,144000,0,0,1,0,0
9830,1287,576,162000,1,0,0,0,0
11275,2978,564,242000,1,0,0,0,0
8064,1224,280,132000,1,0,0,0,0
7500,1246,305,154000,1,0,0,0,0
8520,1385,720,166000,1,0,0,0,0
7200,900,576,134800,1,0,0,0,0
10000,1116,440,160000,1,0,0,0,0
7635,1175,484,148000,1,0,0,0,0
9760,1395,440,192000,1,0,0,0,0
7700,1839,442,155000,1,0,0,0,0
4800,1844,240,80400,1,0,0,0,0
8800,1140,0,96500,1,0,0,0,0
4485,936,0,109500,1,0,0,0,0
8960,1028,360,115000,1,0,0,0,0
5805,1347,551,143000,1,0,0,0,0
5790,1605,379,107400,1,0,0,0,0
4608,747,220,80000,1,0,0,0,0
7200,804,240,119000,1,0,0,0,0
5500,1316,484,130000,1,0,0,0,0
6900,1251,240,119000,1,0,0,0,0
11851,1633,240,129000,1,0,0,0,0
8239,1245,315,100000,1,0,0,0,0
9656,832,780,12789,1,0,0,0,0
8520,720,484,105900,1,0,0,0,0
9600,1566,288,150000,1,0,0,0,0
10800,1652,416,139000,1,0,0,0,0
9000,2268,624,240000,1,0,0,0,0
9045,2256,0,76500,0,1,0,0,0
7407,1236,923,149700,1,0,0,0,0
7740,1363,528,125500,1,0,0,0,0
11340,2290,560,122500,0,1,0,0,0
10560,1470,624,140750,1,0,0,0,0
5830,1612,363,128500,1,0,0,0,0
7793,2068,315,209500,1,0,0,0,0
5000,765,200,87000,1,0,0,0,0
6000,1132,240,134000,1,0,0,0,0
6000,1196,576,128000,1,0,0,0,0
6360,1453,240,132000,1,0,0,0,0
6000,1416,312,139900,1,0,0,0,0
6240,1040,624,123900,1,0,0,0,0
6240,1536,480,138400,1,0,0,0,0
6120,1068,288,109500,1,0,0,0,0
10300,1710,480,140000,1,0,0,0,0
8094,1962,572,149500,1,0,0,0,0
12900,1560,0,159900,1,0,0,0,0
3068,1324,180,122000,1,0,0,0,0
8472,816,516,110000,0,0,1,0,0
5600,1092,0,55000,0,1,0,0,0
7630,1812,672,140000,0,1,0,0,0
24090,2403,349,244400,1,0,0,0,0
15263,1675,365,173000,1,0,0,0,0
10632,1224,180,107500,1,0,0,0,0
9900,1392,0,100000,0,1,0,0,0
6001,919,231,95000,1,0,0,0,0
6449,1884,0,93369,1,0,0,0,0
6048,1680,450,114900,0,1,0,0,0
6342,1020,0,94000,1,0,0,0,0
10773,1832,0,136000,0,0,1,0,0
10778,1768,0,136500,0,0,1,0,0
11625,1039,504,131500,0,1,0,0,0
11341,1392,528,121500,1,0,0,0,0
8521,912,336,125000,1,0,0,0,0
8246,1060,270,154000,1,0,0,0,0
7800,892,416,137900,1,0,0,0,0
9364,1352,299,158000,1,0,0,0,0
7832,864,280,137250,1,0,0,0,0
7424,1373,591,160250,0,0,1,0,0
11227,1440,480,163000,1,0,0,0,0
11616,1386,440,158900,1,0,0,0,0
14000,2260,533,328000,1,0,0,0,0
20062,1483,690,270000,1,0,0,0,0
9259,756,440,85000,1,0,0,0,0
9600,1067,436,128000,1,0,0,0,0
23595,1524,586,260000,1,0,0,0,0
17082,1981,522,230000,1,0,0,0,0
18600,1610,480,124000,1,0,0,0,0
10625,835,366,83000,1,0,0,0,0
11479,1074,467,144500,1,0,0,0,0
9571,1144,596,129000,1,0,0,0,0
9350,1531,209,127000,1,0,0,0,0
9525,1172,366,128000,1,0,0,0,0
10420,1212,460,186000,1,0,0,0,0
17485,1508,572,308030,1,0,0,0,0
11200,1298,504,114000,1,0,0,0,0
11100,930,308,84900,1,0,0,0,0
9206,1732,476,178000,1,0,0,0,0
11980,1433,528,270000,1,0,0,0,0
12361,1802,1017,218000,1,0,0,0,0
9938,1949,574,236000,1,0,0,0,0
9069,996,564,147000,1,0,0,0,0
10475,1694,776,245350,1,0,0,0,0
6762,1208,632,206000,1,0,0,0,0
10402,1226,740,198900,1,0,0,0,0
7360,1222,615,187000,1,0,0,0,0
12376,3222,594,320000,1,0,0,0,0
14235,1445,484,138500,1,0,0,0,0
8816,1052,440,155000,1,0,0,0,0
11105,965,580,159000,1,0,0,0,0
9337,1692,513,191000,1,0,0,0,0
8750,1682,523,200500,1,0,0,0,0
15240,1026,308,150000,1,0,0,0,0
10900,1392,299,161750,1,0,0,0,0
10650,894,308,128200,1,0,0,0,0
7480,876,484,127000,1,0,0,0,0
10389,1978,850,318000,1,0,0,0,0
11423,1601,670,272000,1,0,0,0,0
9548,1829,613,237000,1,0,0,0,0
9375,2098,621,240000,1,0,0,0,0
12137,1661,598,224900,1,0,0,0,0
4435,848,420,143750,0,0,0,0,1
4426,848,420,143000,0,0,0,0,1
10635,1668,502,232000,1,0,0,0,0
8400,1484,606,213000,1,0,0,0,0
8773,1414,494,185500,1,0,0,0,0
8777,640,240,84900,1,0,0,0,0
8842,992,319,155891,1,0,0,0,0
9825,1664,0,100000,0,0,1,0,0
10044,1196,336,144000,1,0,0,0,0
11792,1120,480,64000,1,0,0,0,0
6305,1096,352,125200,1,0,0,0,0
7819,1117,672,107000,1,0,0,0,0
6410,960,0,90000,1,0,0,0,0
8546,1121,440,140000,1,0,0,0,0
8741,1487,220,113000,1,0,0,0,0
12180,924,280,80000,0,1,0,0,0
8562,1526,364,144500,1,0,0,0,0
4853,1296,260,104000,1,0,0,0,0
6858,1647,216,128000,1,0,0,0,0
8212,864,200,58500,1,0,0,0,0
5000,1691,308,127000,1,0,0,0,0
7890,856,399,126000,1,0,0,0,0
7200,2650,0,160000,0,0,1,0,0
9839,1666,0,100000,1,0,0,0,0
9638,2447,336,169000,1,0,0,0,0
10452,2133,312,257500,1,0,0,0,0
15600,2177,484,215000,0,0,1,0,0
9042,2340,252,266500,1,0,0,0,0
17500,1902,567,335000,1,0,0,0,0
19645,1652,473,203135,1,0,0,0,0
3907,1034,598,185000,0,0,0,0,1
3907,1191,531,162500,0,0,0,0,1
15602,1801,484,289000,1,0,0,0,0
5436,1154,240,125500,1,0,0,0,0
8154,540,200,82000,1,0,0,0,0
9140,1107,625,110000,1,0,0,0,0
7500,1128,528,68400,1,0,0,0,0
8712,1178,384,102776,1,0,0,0,0
8712,1044,504,55993,1,0,0,0,0
8712,952,330,50138,1,0,0,0,0
3811,1646,525,246000,0,0,0,0,1
11050,1916,741,254900,1,0,0,0,0
9620,1285,473,190000,1,0,0,0,0
9196,1560,573,201000,1,0,0,0,0
12328,1034,888,169900,1,0,0,0,0
12760,2048,776,170000,0,0,1,0,0
57200,1687,572,160000,1,0,0,0,0
11896,1346,660,220000,1,0,0,0,0
9803,1214,520,179781,1,0,0,0,0
9802,1444,400,174000,1,0,0,0,0
12003,1968,680,269500,1,0,0,0,0
11316,1894,510,214900,1,0,0,0,0
14191,1908,431,202900,1,0,0,0,0
13214,2018,746,378500,1,0,0,0,0
15300,1264,528,169000,1,0,0,0,0
10114,1430,624,173500,1,0,0,0,0
9400,1824,0,139000,0,0,1,0,0
11875,1344,686,166500,1,0,0,0,0
1974,1092,286,83500,0,0,0,0,1
2394,945,253,119500,0,0,0,1,0
2592,1112,336,85000,0,0,0,0,1
1476,1092,0,76000,0,0,0,1,0
1491,630,0,75500,0,0,0,0,1
1900,1092,0,88250,0,0,0,0,1
1890,1092,286,85500,0,0,0,0,1
6953,874,352,130000,1,0,0,0,0
26142,1188,312,157900,1,0,0,0,0
12887,833,495,149900,1,0,0,0,0
7700,2432,616,159000,0,0,1,0,0
10475,1274,576,136000,1,0,0,0,0
10544,1479,275,161000,1,0,0,0,0
9892,1803,482,285000,1,0,0,0,0
12961,1797,616,231000,1,0,0,0,0
13008,882,502,124500,1,0,0,0,0
10200,1434,528,157000,1,0,0,0,0
13860,2704,538,345000,1,0,0,0,0
10179,1608,470,189500,1,0,0,0,0
11792,2283,632,270000,1,0,0,0,0
8400,1628,390,189000,1,0,0,0,0
14892,1746,758,377500,1,0,0,0,0
8530,1474,400,168500,1,0,0,0,0
7296,2522,564,375000,0,0,0,0,1
5664,1659,499,278000,0,0,0,0,1
7380,1478,495,240000,1,0,0,0,0
8013,1734,528,239500,0,0,0,0,1
8923,1382,396,177500,1,0,0,0,0
10141,1718,427,185000,1,0,0,0,0
7500,1636,440,191000,1,0,0,0,0
7837,1571,380,178000,1,0,0,0,0
9765,1470,420,185000,1,0,0,0,0
8803,1516,409,181316,1,0,0,0,0
7250,1190,430,166000,1,0,0,0,0
9636,1593,389,178000,1,0,0,0,0
8125,1481,343,174000,1,0,0,0,0
9248,1167,400,173000,1,0,0,0,0
10762,1983,490,225000,1,0,0,0,0
11851,1442,500,180500,1,0,0,0,0
5814,1360,565,187500,0,0,0,0,1
17423,2234,1166,501837,1,0,0,0,0
11844,2046,834,372500,1,0,0,0,0
16158,1530,430,260000,1,0,0,0,0
11900,1934,567,185000,1,0,0,0,0
13005,2353,484,260000,1,0,0,0,0
17043,1586,435,181000,1,0,0,0,0
11900,1411,544,82500,1,0,0,0,0
16635,1602,529,215000,1,0,0,0,0
13250,2050,529,154000,1,0,0,0,0
10928,1671,484,200000,1,0,0,0,0
12388,2673,441,249000,1,0,0,0,0
14115,1472,588,187500,1,0,0,0,0
11088,1707,479,184000,1,0,0,0,0
9600,2524,542,278000,1,0,0,0,0
11880,1601,478,157000,1,0,0,0,0
10400,1370,479,152000,1,0,0,0,0
10304,1868,484,197500,1,0,0,0,0
7000,1884,581,240900,1,0,0,0,0
8004,1935,552,263435,1,0,0,0,0
7500,1874,588,220000,1,0,0,0,0
8470,1811,565,235000,1,0,0,0,0
9373,1621,478,213000,1,0,0,0,0
10140,1116,528,167900,1,0,0,0,0
11050,1193,506,158000,1,0,0,0,0
10140,1350,478,165000,1,0,0,0,0
10448,2119,583,158000,1,0,0,0,0
9000,1792,0,136000,0,0,1,0,0
8750,1002,902,148500,1,0,0,0,0
7930,1026,440,156000,1,0,0,0,0
7830,1180,477,128000,1,0,0,0,0
8510,1050,336,143000,1,0,0,0,0
7038,864,576,76500,1,0,0,0,0
6960,864,660,120500,1,0,0,0,0
8120,864,463,124500,1,0,0,0,0
10500,864,576,97000,1,0,0,0,0
9000,864,576,130000,1,0,0,0,0
1680,987,264,111000,0,0,0,1,0
2368,1365,440,125000,0,0,0,0,1
1680,1302,280,112000,0,0,0,1,0
1680,987,288,97000,0,0,0,1,0
1680,987,264,118000,0,0,0,1,0
1680,1302,264,119500,0,0,0,1,0
4928,958,440,143750,0,0,0,0,1
2308,1548,440,146000,0,0,0,0,1
2280,1456,440,148500,0,0,0,1,0
2280,1055,440,123000,0,0,0,1,0
2308,1322,440,147000,0,0,0,0,1
2349,1456,440,137900,0,0,0,1,0
2364,1548,440,147000,0,0,0,0,1
2289,1441,440,148500,0,0,0,1,0
2364,1456,440,138000,0,0,0,0,1
2104,836,345,128500,0,0,0,0,1
7150,892,288,100000,1,0,0,0,0
10710,1120,656,148800,1,0,0,0,0
12456,1718,786,337500,1,0,0,0,0
14257,2772,754,462000,1,0,0,0,0
13518,3140,820,485000,1,0,0,0,0
15431,2402,672,555000,1,0,0,0,0
13173,1652,840,325000,1,0,0,0,0
14230,1600,890,256300,1,0,0,0,0
12704,2042,1390,253293,1,0,0,0,0
12350,2690,864,398800,1,0,0,0,0
11308,2184,836,335000,1,0,0,0,0
12350,2020,896,404000,1,0,0,0,0
12220,2020,900,402861,1,0,0,0,0
13478,2296,842,451950,1,0,0,0,0
13693,2674,762,610000,1,0,0,0,0
13891,2822,1020,582933,1,0,0,0,0
11578,1736,834,360000,1,0,0,0,0
16870,1782,932,296000,1,0,0,0,0
23303,2520,640,409900,1,0,0,0,0
11146,1717,908,255500,1,0,0,0,0
10367,1743,927,335000,1,0,0,0,0
9591,1713,856,274900,1,0,0,0,0
10872,1531,700,300000,1,0,0,0,0
13514,1808,850,324000,1,0,0,0,0
8834,2224,738,350000,1,0,0,0,0
11362,1836,862,280000,1,0,0,0,0
10655,1629,880,284000,1,0,0,0,0
12878,1760,583,269500,1,0,0,0,0
9541,1502,644,233170,1,0,0,0,0
13472,2392,968,386250,1,0,0,0,0
15274,2452,886,445000,1,0,0,0,0
13262,2400,730,290000,1,0,0,0,0
9658,1606,871,255900,1,0,0,0,0
6904,1358,484,213000,0,0,0,0,1
5381,1306,624,196000,0,0,0,1,0
5122,1306,624,184500,0,0,0,1,0
10307,1358,484,212500,0,0,0,0,1
5001,1314,626,230000,0,0,0,1,0
14836,2492,949,552000,1,0,0,0,0
15262,2200,685,382500,1,0,0,0,0
7390,1884,649,320000,0,0,0,0,1
6472,1456,539,248500,0,0,0,0,1
16770,1712,701,286500,1,0,0,0,0
6240,1324,550,254000,0,0,0,0,1
3480,1405,478,173000,0,0,0,0,1
2268,1626,474,173000,0,0,0,1,0
10928,1456,390,184000,1,0,0,0,0
8918,1490,392,167800,1,0,0,0,0
12589,1484,390,174000,1,0,0,0,0
11911,1560,400,174000,1,0,0,0,0
3684,1555,660,174000,0,0,0,0,1
3635,1569,660,175900,0,0,0,0,1
3182,1555,430,192500,0,0,0,0,1
3182,1504,457,181000,0,0,0,0,1
3182,1220,397,180000,0,0,0,0,1
3182,1145,397,160200,0,0,0,0,1
7795,1432,432,188500,1,0,0,0,0
8068,2267,390,200000,1,0,0,0,0
9434,1374,400,170000,1,0,0,0,0
7984,1630,436,189500,1,0,0,0,0
7750,1419,527,184100,1,0,0,0,0
10125,1594,434,195500,1,0,0,0,0
8965,1489,400,192000,1,0,0,0,0
8174,1342,393,178000,1,0,0,0,0
5063,1314,626,207500,0,0,0,1,0
8795,2256,554,236000,1,0,0,0,0
12891,2004,644,257500,1,0,0,0,0
12224,2054,390,244000,1,0,0,0,0
9734,1374,400,167000,1,0,0,0,0
8123,1800,463,179000,1,0,0,0,0
8433,1514,394,190000,1,0,0,0,0
7750,1430,400,156000,1,0,0,0,0
15896,2312,658,245000,1,0,0,0,0
24682,1675,502,181000,1,0,0,0,0
8755,2060,390,214000,1,0,0,0,0
7848,1430,410,168000,1,0,0,0,0
9430,2365,856,337000,1,0,0,0,0
15138,2794,810,403000,1,0,0,0,0
12720,2687,810,327000,1,0,0,0,0
16545,2450,1069,340000,1,0,0,0,0
12203,2612,676,336000,1,0,0,0,0
10208,2344,889,265000,1,0,0,0,0
10750,2063,815,315000,1,0,0,0,0
9900,2646,656,260000,1,0,0,0,0
9085,2061,647,260000,1,0,0,0,0
11692,2232,623,263550,1,0,0,0,0
46589,2448,711,402000,1,0,0,0,0
29959,1850,467,248000,1,0,0,0,0
9612,1468,898,244600,1,0,0,0,0
11194,1696,972,275000,1,0,0,0,0
10206,1658,726,257500,1,0,0,0,0
9262,1578,840,287090,1,0,0,0,0
10130,1702,844,275500,1,0,0,0,0
9139,1432,492,245000,1,0,0,0,0
9675,1971,689,253000,1,0,0,0,0
11128,2490,795,468000,1,0,0,0,0
8640,1852,644,252678,1,0,0,0,0
9000,1590,676,210000,1,0,0,0,0
7862,1218,676,208300,1,0,0,0,0
7993,1436,529,225000,1,0,0,0,0
8640,1314,552,229456,1,0,0,0,0
8640,1402,625,229800,1,0,0,0,0
12606,1530,984,250000,1,0,0,0,0
9187,1766,478,370878,1,0,0,0,0
7500,1448,692,238500,1,0,0,0,0
11003,2007,812,310000,1,0,0,0,0
10603,1795,782,270000,1,0,0,0,0
10574,1953,1043,252000,1,0,0,0,0
8125,1550,438,241000,1,0,0,0,0
8125,1836,517,264500,1,0,0,0,0
10625,1662,711,291000,1,0,0,0,0
9375,2094,615,263000,1,0,0,0,0
7500,1221,400,185000,1,0,0,0,0
8736,1553,588,234500,1,0,0,0,0
8127,1653,628,209000,1,0,0,0,0
9605,1218,576,159000,1,0,0,0,0
7500,1141,484,152000,1,0,0,0,0
7500,1158,0,143500,1,0,0,0,0
10628,1812,478,193000,1,0,0,0,0
10141,1512,845,203000,1,0,0,0,0
10083,1200,555,184900,1,0,0,0,0
13072,1114,576,159000,1,0,0,0,0
13072,1114,0,142000,1,0,0,0,0
12450,1114,576,153000,1,0,0,0,0
7328,1450,788,224243,1,0,0,0,0
11492,2122,559,220000,1,0,0,0,0
10994,1844,620,257000,1,0,0,0,0
8529,1434,527,189000,1,0,0,0,0
7703,1730,528,171500,1,0,0,0,0
10762,1217,288,120000,0,0,0,0,1
7175,1332,542,145000,0,0,0,0,1
9109,1540,495,184000,1,0,0,0,0
10274,1400,465,162000,1,0,0,0,0
8250,1882,612,160000,0,0,1,0,0
8400,841,294,82000,1,0,0,0,0
9000,784,360,76000,1,0,0,0,0
9750,980,400,110000,1,0,0,0,0
7064,980,484,135000,1,0,0,0,0
8499,864,732,141000,1,0,0,0,0
9079,864,440,122000,1,0,0,0,0
9316,1020,288,124100,1,0,0,0,0
7791,912,300,129000,1,0,0,0,0
10000,1144,264,131400,1,0,0,0,0
8281,864,360,62383,1,0,0,0,0
7150,912,252,123000,1,0,0,0,0
15676,2014,864,275000,1,0,0,0,0
11949,1755,524,235000,1,0,0,0,0
2880,3005,704,280750,0,0,0,1,0
3951,1224,528,164500,0,0,0,0,1
3000,1224,528,173733,0,0,0,0,1
3830,1726,561,222000,0,0,0,0,1
4217,1256,641,195000,0,0,0,0,1
3230,1471,440,172500,0,0,0,0,1
2998,1512,440,180000,0,0,0,0,1
3768,1452,506,156000,0,0,0,0,1
2645,1739,480,172500,0,0,0,1,0
14694,1694,642,318750,1,0,0,0,0
3782,1226,484,211500,0,0,0,0,1
15417,1740,540,241600,1,0,0,0,0
9600,2499,527,180500,1,0,0,0,0
9991,1620,490,150000,1,0,0,0,0
11700,1556,441,154000,1,0,0,0,0
11717,1442,615,185000,1,0,0,0,0
9156,1489,462,185750,1,0,0,0,0
10382,2090,484,200000,1,0,0,0,0
12732,2067,784,206000,1,0,0,0,0
12936,1395,497,162000,1,0,0,0,0
10400,2640,515,256900,1,0,0,0,0
17871,1724,480,197900,1,0,0,0,0
9600,1336,502,163000,1,0,0,0,0
9000,1216,336,113000,1,0,0,0,0
13774,2288,520,230000,1,0,0,0,0
9650,1334,630,167900,1,0,0,0,0
10140,1680,583,213250,1,0,0,0,0
8400,1665,528,227000,1,0,0,0,0
7130,864,312,130000,1,0,0,0,0
9600,1568,440,143000,1,0,0,0,0
9100,925,429,117500,1,0,0,0,0
9600,2061,498,168500,1,0,0,0,0
16500,1320,495,172500,1,0,0,0,0
9790,1342,457,161500,1,0,0,0,0
7436,894,396,141500,1,0,0,0,0
8125,864,308,118000,1,0,0,0,0
9100,864,300,127500,1,0,0,0,0
9450,1362,768,140000,1,0,0,0,0
13495,1728,576,177625,1,0,0,0,0
11475,1776,888,110000,0,0,1,0,0
10004,1516,472,167000,1,0,0,0,0
9350,1313,610,153000,1,0,0,0,0
10500,1292,520,145100,1,0,0,0,0
11000,1154,480,154000,1,0,0,0,0
8970,2140,549,177500,1,0,0,0,0
12095,1445,645,158000,1,0,0,0,0
9600,1041,270,124500,1,0,0,0,0
11475,1576,368,174500,1,0,0,0,0
9768,960,330,122000,1,0,0,0,0
5330,708,0,82500,1,0,0,0,0
7015,1203,352,110000,1,0,0,0,0
12160,1505,505,149500,1,0,0,0,0
9900,1691,550,175000,1,0,0,0,0
9600,1644,418,167000,1,0,0,0,0
9600,1050,338,128900,1,0,0,0,0
9600,1668,271,140000,1,0,0,0,0
9600,1113,264,147000,1,0,0,0,0
8944,1584,792,124000,0,0,1,0,0
10573,1453,530,187500,1,0,0,0,0
9500,1394,514,159000,1,0,0,0,0
14695,1567,542,256000,1,0,0,0,0
13600,1986,486,205000,1,0,0,0,0
13000,2142,509,193500,1,0,0,0,0
13560,1392,576,110000,1,0,0,0,0
12513,1738,368,104900,1,0,0,0,0
8760,1144,286,150000,1,0,0,0,0
8400,1478,442,156500,1,0,0,0,0
12285,1329,441,176000,1,0,0,0,0
9240,988,297,149500,1,0,0,0,0
9600,1632,338,139000,1,0,0,0,0
12400,1215,297,155000,1,0,0,0,0
8750,1202,304,120000,1,0,0,0,0
8750,1382,350,153000,1,0,0,0,0
10400,1200,294,144000,1,0,0,0,0
19296,1382,884,176000,1,0,0,0,0
8532,1297,498,153000,1,0,0,0,0
9482,1866,495,135000,0,0,1,0,0
8128,1062,297,131000,1,0,0,0,0
10634,1319,270,123000,1,0,0,0,0
13070,1112,480,126000,1,0,0,0,0
10434,1005,672,115000,1,0,0,0,0
14559,1363,288,164900,1,0,0,0,0
8480,793,240,113000,1,0,0,0,0
7626,1031,230,145500,1,0,0,0,0
9533,1210,616,102900,1,0,0,0,0
10615,1699,420,95000,0,1,0,0,0
11419,1527,410,152500,1,0,0,0,0
9600,1200,246,129900,1,0,0,0,0
8000,972,240,132000,1,0,0,0,0
5470,792,366,99900,1,0,0,0,0
10410,1656,180,135000,1,0,0,0,0
10800,1352,720,149000,1,0,0,0,0
8146,1039,281,114000,1,0,0,0,0
9022,792,240,109500,1,0,0,0,0
10230,1078,264,125000,1,0,0,0,0
10410,2377,528,142900,1,0,0,0,0
